bug_id,"bug_severity","priority","op_sys","assigned_to","bug_status","resolution","short_desc"
61,"normal","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","click on shoping cart option button it working or not"
64,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","Click on submit  button while email id invalid it should be show validation message"
65,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","Click on send message button while enter invalid name it should be show validation message"
66,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","Click on continu  button while enter digit in name field it should be not allowed or should be show validation message"
67,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","Click on continu button while enter special characters in name field it should be not allowed or it should be show validation message"
68,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","Click on submit  button while email id invalid it should be show validation message"
73,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","Click on first name box while enter special characters in name field it should be not allowed or it should be show validation message"
75,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","Click on last name box while enter digit in name field it should be not allowed or should be show validation message"
77,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","Click on ragister account -e-mail while email id invalid it should be show validation message"
78,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","Enter a detail in password field it should have limitation of characters"
79,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","while customer forget the password it should be option for forget password option"
82,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","Enter a detail in password field it should have limitation of characters"
85,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","Click on login button without enter email  it should be show validation message"
88,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","click on order history it should be working or not"
89,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","will check on download button it shoud be working or not"
92,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","will check return button iot should be working or not"
97,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","will check verify that the added product is present on the wiahlist it working or not"
99,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","will check the share wishlist functionality working or not"
101,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","will check that the users can add products to the cart from the wishlist working or nor"
106,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","will check shopping cart enter product it  proper working or not"
107,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","will check wish list under enter product it working or not"
110,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","will check product compare button it compare product or not"
117,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","will check apple cinema 30"" it add to cart option it working or not"
120,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","will check text box under lemeted text edit or not"
121,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","while message is too long it should be show scroll bar"
122,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","will check textarea it lemeted characters edit or not"
123,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","customer can change size of message box by width and height"
124,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","will check uploding file ti uplode or not"
125,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","will check date box under only  for number allow or not"
128,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","check quantity box under only for number allow or not"
129,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","will check add to cart enter product it  proper working or not"
131,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","Click on personal detail  name box while enter invalid name it should be show validation message"
132,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","Click on  name box while enter digit in name field it should be not allowed or should be show validation message"
133,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","Click on name box while enter special characters in name field it should be not allowed or it should be show validation message"
134,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","will check textarea it lemeted characters edit or not"
136,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","will check MACS product list in this categories ir show or not"
137,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","will check MACS product list in this categories ir show or not"
140,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","will check product compare button it compare product or not"
141,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","will check product compare button it 2 product it compare perfectly or not"
142,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","will check  list button it highlight and keyboard key it working or not"
153,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","Click on personal detail  name box while enter invalid name it should be show validation message"
154,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","Click on  name box while enter digit in name field it should be not allowed or should be show validation message"
155,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","Click on name box while enter special characters in name field it should be not allowed or it should be show validation message"
159,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","will check  list button it highlight and keyboard key it working or not"
160,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","will check show printers or nor"
164,"major","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","check add to cart option it add to product proper or not"
165,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","will check wish list under enter product it working or not"
168,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","will check that the users can add products to the cart from the wishlist working or nor"
172,"critical","Highest","Windows","lakumkinjal55@gmail.com","NEW","---","will check software enter to key keybord it working or not"
51,"normal","High","Windows","lakumkinjal55@gmail.com","NEW","---","Check it should be display proper Options according to dimensions"
52,"normal","High","Windows","lakumkinjal55@gmail.com","NEW","---","Check it should be display proper Options according to dimensions"
53,"normal","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check featured image slider-next button useng keyboard key working or not"
54,"normal","High","Windows","lakumkinjal55@gmail.com","NEW","---","when i click featured image slider-priviours button it useng keyboard key working or not"
55,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","check when i ckick on search button it working or not"
56,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","Click on send message button while enter invalid name it should be show validation message"
57,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","Click on continu  button while enter digit in name field it should be not allowed or should be show validation message"
58,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","Click on continu button while enter special characters in name field it should be not allowed or it should be show validation message"
59,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","Click on enquiry while enter invalid details in message box it should be show validation message"
60,"major","High","Windows","lakumkinjal55@gmail.com","NEW","---","When i click wish list button its working or not"
62,"normal","High","Windows","lakumkinjal55@gmail.com","NEW","---","check leptop&notebooks button it working or not"
63,"major","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check information under terms and condition button enter in keyboard key it working or not"
69,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check contact US -submit button while invalid details it should be show validation messages"
70,"normal","High","Windows","lakumkinjal55@gmail.com","NEW","---","check contact US submit button it enter in keyboard key it working or not"
71,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","Click on personal detail first name box while enter invalid name it should be show validation message"
72,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","Click on first name box while enter digit in name field it should be not allowed or should be show validation message"
74,"normal","High","Windows","lakumkinjal55@gmail.com","NEW","---","Click on personal detail last name box while enter invalid name it should be show validation message"
76,"normal","High","Windows","lakumkinjal55@gmail.com","NEW","---","Click on last name box while enter special characters in name field it should be not allowed or it should be show validation message"
81,"major","High","Windows","lakumkinjal55@gmail.com","NEW","---","Click on login button without enter email  it should be show validation message"
83,"normal","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check forgotten password under back option it keyboard key it working or not"
84,"major","High","Windows","lakumkinjal55@gmail.com","NEW","---","Click on login button after entering invalid username and password it should be open profile page"
86,"normal","High","Windows","lakumkinjal55@gmail.com","NEW","---","Click on login button after entering invald password it should be open profile page"
87,"normal","High","Windows","lakumkinjal55@gmail.com","NEW","---","Click on login button without enter password  it should be show validation message"
90,"normal","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check subscription button it should be working or not"
91,"normal","High","Windows","lakumkinjal55@gmail.com","NEW","---","check reward point it should be working or not"
93,"minor","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check transaction button it should be working or not"
95,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check verify that the added product is present on the wiahlist it working or not"
96,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check that the update of the wishlist is working or not"
98,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check that the update of the wishlist is working or not"
100,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check the share wishlist functionality working or not"
102,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check wish list button it highlight and working or not"
103,"major","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check wishlist button it click 2-3 time ti perfectly working or not"
104,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check Users should be able to add a product to the cart working or not"
105,"minor","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check users should be abal to add items to the cart it working or not"
108,"major","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check desktop pc it show all pc"
109,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check desktop pc it show all pc"
111,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check desktop list button it highlight and keyboard key it working or not"
112,"major","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check 25 product it show or not"
113,"major","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check 50 product it show or not"
114,"major","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check 75 product it show or not"
115,"major","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check 100 product it show or not"
116,"major","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check adding a product to the cart should be possibal or not"
118,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check apple cenema 30"" add to wish list it working perfectly"
119,"major","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check compare this product it product it add to compare this product"
126,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check time box under only for number allow or not"
127,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","wiil check date&time box under only for number allow or not"
130,"minor","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check review button it ckick and open reviews or not"
135,"major","High","Windows","lakumkinjal55@gmail.com","NEW","---","customer can change size of review box by width and height"
138,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check windows product list in this categories ir show or not"
139,"major","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check leptop&notbook it show perfectly or not"
143,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check wish list under enter product it working or not"
144,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check that the update of the wishlist is working or not"
145,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check the share wishlist functionality working or not"
146,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check that the users can add products to the cart from the wishlist working or nor"
147,"major","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check wish list button it highlight and working or not"
148,"major","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check wishlist button it click 2-3 time ti perfectly working or not"
149,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check compare this product it product it add to compare this product"
150,"major","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check apple button it open proper or not"
151,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","check quantity box under only for number allow or not"
152,"major","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check review button it ckick and open reviews or not"
156,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check textarea it lemeted characters edit or not"
